File;Trips_Satisfied
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.5_EV-FACTOR_529_EV_2_FLEX_10000_TPS.txt;3954
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.5_EV-FACTOR_529_EV_50_FLEX_10000_TPS.txt;8030
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.5_EV-FACTOR_53_EV_10_FLEX_1000_TPS.txt;289
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.5_EV-FACTOR_53_EV_25_FLEX_1000_TPS.txt;312
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.5_EV-FACTOR_53_EV_2_FLEX_1000_TPS.txt;243
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.5_EV-FACTOR_53_EV_50_FLEX_1000_TPS.txt;378
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_2.0_EV-FACTOR_22_EV_10_FLEX_300_TPS.txt;69
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_2.0_EV-FACTOR_22_EV_25_FLEX_300_TPS.txt;85
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_2.0_EV-FACTOR_22_EV_2_FLEX_300_TPS.txt;49
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_2.0_EV-FACTOR_22_EV_50_FLEX_300_TPS.txt;87
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_2.0_EV-FACTOR_706_EV_10_FLEX_10000_TPS.txt;6885
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_2.0_EV-FACTOR_706_EV_25_FLEX_10000_TPS.txt;8333
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_2.0_EV-FACTOR_706_EV_2_FLEX_10000_TPS.txt;5029
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_2.0_EV-FACTOR_706_EV_50_FLEX_10000_TPS.txt;9549
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_2.0_EV-FACTOR_71_EV_10_FLEX_1000_TPS.txt;388
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_2.0_EV-FACTOR_71_EV_25_FLEX_1000_TPS.txt;407
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_2.0_EV-FACTOR_71_EV_2_FLEX_1000_TPS.txt;299
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_2.0_EV-FACTOR_71_EV_50_FLEX_1000_TPS.txt;465
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_1.0_EV-FACTOR_11_EV_10_FLEX_300_TPS.txt;75
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_1.0_EV-FACTOR_11_EV_25_FLEX_300_TPS.txt;73
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_1.0_EV-FACTOR_11_EV_2_FLEX_300_TPS.txt;90
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_1.0_EV-FACTOR_11_EV_50_FLEX_300_TPS.txt;95
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_1.0_EV-FACTOR_353_EV_10_FLEX_10000_TPS.txt;3339
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_1.0_EV-FACTOR_353_EV_25_FLEX_10000_TPS.txt;4515
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_1.0_EV-FACTOR_353_EV_2_FLEX_10000_TPS.txt;2565
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_1.0_EV-FACTOR_353_EV_50_FLEX_10000_TPS.txt;6191
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_1.0_EV-FACTOR_35_EV_10_FLEX_1000_TPS.txt;180
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_1.0_EV-FACTOR_35_EV_25_FLEX_1000_TPS.txt;188
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_1.0_EV-FACTOR_35_EV_2_FLEX_1000_TPS.txt;174
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_1.0_EV-FACTOR_35_EV_50_FLEX_1000_TPS.txt;274
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_1.5_EV-FACTOR_16_EV_10_FLEX_300_TPS.txt;77
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_1.5_EV-FACTOR_16_EV_25_FLEX_300_TPS.txt;67
