File;Trips_Satisfied
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_2.0_EV-FACTOR_72_EV_50_FLEX_1000_TPS.txt;298
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_1.0_EV-FACTOR_11_EV_10_FLEX_300_TPS.txt;66
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_1.0_EV-FACTOR_11_EV_25_FLEX_300_TPS.txt;62
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_1.0_EV-FACTOR_11_EV_2_FLEX_300_TPS.txt;82
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_1.0_EV-FACTOR_11_EV_50_FLEX_300_TPS.txt;61
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_1.0_EV-FACTOR_358_EV_10_FLEX_10000_TPS.txt;2208
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_1.0_EV-FACTOR_358_EV_25_FLEX_10000_TPS.txt;2282
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_1.0_EV-FACTOR_358_EV_2_FLEX_10000_TPS.txt;2124
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_1.0_EV-FACTOR_358_EV_50_FLEX_10000_TPS.txt;2273
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_1.0_EV-FACTOR_36_EV_10_FLEX_1000_TPS.txt;147
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_1.0_EV-FACTOR_36_EV_25_FLEX_1000_TPS.txt;148
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_1.0_EV-FACTOR_36_EV_2_FLEX_1000_TPS.txt;160
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_1.0_EV-FACTOR_36_EV_50_FLEX_1000_TPS.txt;158
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_1.5_EV-FACTOR_16_EV_10_FLEX_300_TPS.txt;73
./instance_generator/instances/SPREAD_16_SEC_4.0_ENERGY_1.5_EV-FACTOR_16_EV_25_FLEX_300_TPS.txt;73
